nazev;id_atribut_sada;scenar_nazev;typ;Průměrná_délka_života_kol;Medián_délka_života_kol;Min_délka_života_kol;Max_délka_života_kol;Směrodatná_odchylka_délky_života_kol;Počet_úmrtí;Zpusobene_poskozeni__mean;Zpusobene_poskozeni__median;Zpusobene_poskozeni__min;Zpusobene_poskozeni__max;Zpusobene_poskozeni__std;Prijate_poskozeni__mean;Prijate_poskozeni__median;Prijate_poskozeni__min;Prijate_poskozeni__max;Prijate_poskozeni__std;Utoky__mean;Utoky__median;Utoky__min;Utoky__max;Utoky__std;protiUtoky__mean;protiUtoky__median;protiUtoky__min;protiUtoky__max;protiUtoky__std;Kriticke_zasahy__mean;Kriticke_zasahy__median;Kriticke_zasahy__min;Kriticke_zasahy__max;Kriticke_zasahy__std;Uhyby__mean;Uhyby__median;Uhyby__min;Uhyby__max;Uhyby__std
Lučištník_vs_Bojovník;boj_atk_-1+1;hora;bojovnik;14.0;14.0;14.0;14.0;;1.0;0.29;0.0;0;7;1.08;0.98;0.0;0;11;1.97;0.09;0.0;0;1;0.29;0.0;0.0;0;0;0.0;0.01;0.0;0;1;0.09;0.02;0.0;0;2;0.15
Lučištník_vs_Bojovník;boj_atk_-1+1;hora;lucisnik;7.42;7.5;5.0;11.0;1.83;12.0;1.38;0.0;0;11;2.35;0.35;0.0;0;7;1.16;0.32;0.0;0;1;0.47;0.12;0.0;0;1;0.32;0.04;0.0;0;2;0.2;0.01;0.0;0;1;0.07
Lučištník_vs_Bojovník;boj_atk_-1+1;rovina;bojovnik;;;;;;;0.73;0.0;0;7;1.66;1.5;0.0;0;11;2.97;0.21;0.0;0;1;0.41;0.0;0.0;0;0;0.0;0.02;0.0;0;1;0.14;0.03;0.0;0;2;0.17
Lučištník_vs_Bojovník;boj_atk_-1+1;rovina;lucisnik;4.95;5.0;4.0;7.0;0.97;19.0;2.07;0.0;0;12;3.19;0.72;0.0;0;7;1.6;0.3;0.0;0;1;0.46;0.22;0.0;0;1;0.42;0.05;0.0;0;2;0.23;0.01;0.0;0;1;0.12
Lučištník_vs_Bojovník;boj_def_+1;hora;bojovnik;8.91;8.0;5.0;22.0;3.02;110.0;0.48;0.0;0;6;1.27;0.92;0.0;0;9;1.71;0.16;0.0;0;1;0.37;0.0;0.0;0;0;0.0;0.02;0.0;0;1;0.13;0.03;0.0;0;2;0.17
Lučištník_vs_Bojovník;boj_def_+1;hora;lucisnik;9.5;9.0;5.0;18.0;2.99;40.0;1.19;0.0;0;9;1.96;0.51;0.0;0;6;1.28;0.37;0.0;0;1;0.48;0.17;0.0;0;1;0.38;0.05;0.0;0;2;0.23;0.01;0.0;0;1;0.09
Lučištník_vs_Bojovník;boj_def_+1;rovina;bojovnik;5.34;5.0;4.0;10.0;1.1;131.0;0.94;0.0;0;6;1.7;1.42;0.0;0;10;2.4;0.28;0.0;0;1;0.45;0.0;0.0;0;0;0.0;0.03;0.0;0;1;0.16;0.04;0.0;0;2;0.19
Lučištník_vs_Bojovník;boj_def_+1;rovina;lucisnik;5.76;5.0;4.0;9.0;1.32;38.0;1.82;0.0;0;10;2.59;0.93;0.0;0;6;1.67;0.34;0.0;0;1;0.47;0.28;0.0;0;1;0.45;0.06;0.0;0;2;0.25;0.02;0.0;0;1;0.13
Lučištník_vs_Bojovník;boj_hp_+3;hora;bojovnik;8.82;8.5;5.0;13.0;2.14;72.0;0.39;0.0;0;6;1.16;1.23;0.0;0;11;2.24;0.13;0.0;0;1;0.33;0.0;0.0;0;0;0.0;0.01;0.0;0;1;0.12;0.03;0.0;0;2;0.16
Lučištník_vs_Bojovník;boj_hp_+3;hora;lucisnik;;;;;;;1.6;0.0;0;11;2.54;0.45;0.0;0;6;1.22;0.35;0.0;0;1;0.48;0.15;0.0;0;1;0.36;0.05;0.0;0;2;0.22;0.01;0.0;0;1;0.08
Lučištník_vs_Bojovník;boj_hp_+3;rovina;bojovnik;5.61;5.0;4.0;9.0;1.23;62.0;0.88;0.0;0;6;1.66;1.8;0.0;0;12;3.13;0.26;0.0;0;1;0.44;0.0;0.0;0;0;0.0;0.03;0.0;0;1;0.16;0.04;0.0;0;2;0.19
Lučištník_vs_Bojovník;boj_hp_+3;rovina;lucisnik;;;;;;;2.38;0.0;0;12;3.41;0.92;0.0;0;6;1.66;0.34;0.0;0;1;0.47;0.28;0.0;0;1;0.45;0.06;0.0;0;2;0.25;0.02;0.0;0;1;0.12
Lučištník_vs_Bojovník;boj_minAtk_+1;hora;bojovnik;7.52;7.0;5.0;13.0;2.16;21.0;0.32;0.0;0;6;1.1;0.98;0.0;0;11;1.97;0.09;0.0;0;1;0.29;0.0;0.0;0;0;0.0;0.01;0.0;0;1;0.09;0.02;0.0;0;2;0.16
Lučištník_vs_Bojovník;boj_minAtk_+1;hora;lucisnik;8.03;8.0;5.0;14.0;1.78;38.0;1.39;0.0;0;11;2.35;0.41;0.0;0;6;1.21;0.32;0.0;0;1;0.47;0.12;0.0;0;1;0.32;0.04;0.0;0;2;0.2;0.01;0.0;0;1;0.07
Lučištník_vs_Bojovník;boj_minAtk_+1;rovina;bojovnik;5.0;5.0;4.0;8.0;0.99;42.0;0.83;0.0;0;6;1.7;1.5;0.0;0;11;2.97;0.21;0.0;0;1;0.41;0.0;0.0;0;0;0.0;0.02;0.0;0;1;0.14;0.03;0.0;0;2;0.17
Lučištník_vs_Bojovník;boj_minAtk_+1;rovina;lucisnik;5.18;5.0;4.0;9.0;1.26;50.0;2.08;0.0;0;12;3.19;0.85;0.0;0;6;1.69;0.31;0.0;0;1;0.46;0.23;0.0;0;1;0.42;0.05;0.0;0;2;0.23;0.01;0.0;0;1;0.12
Lučištník_vs_Bojovník;boj_rych_+1;hora;bojovnik;7.11;7.0;4.0;12.0;1.7;211.0;0.34;0.0;0;6;1.07;1.11;0.0;0;11;2.16;0.12;0.0;0;1;0.33;0.0;0.0;0;0;0.0;0.01;0.0;0;1;0.11;0.03;0.0;0;2;0.16
Lučištník_vs_Bojovník;boj_rych_+1;hora;lucisnik;7.33;7.0;5.0;11.0;1.81;18.0;1.52;0.0;0;11;2.45;0.42;0.0;0;6;1.17;0.33;0.0;0;1;0.47;0.15;0.0;0;1;0.36;0.05;0.0;0;2;0.21;0.01;0.0;0;1;0.09
Lučištník_vs_Bojovník;boj_rych_+1;rovina;bojovnik;4.84;5.0;4.0;8.0;0.89;169.0;0.77;0.0;0;6;1.57;1.58;0.0;0;11;3.01;0.22;0.0;0;1;0.42;0.0;0.0;0;0;0.0;0.02;0.0;0;1;0.14;0.03;0.0;0;2;0.17
Lučištník_vs_Bojovník;boj_rych_+1;rovina;lucisnik;5.04;5.0;4.0;7.0;0.96;26.0;2.2;0.0;0;11;3.23;0.82;0.0;0;6;1.6;0.31;0.0;0;1;0.46;0.25;0.0;0;1;0.43;0.05;0.0;0;2;0.23;0.01;0.0;0;1;0.11
Lučištník_vs_Bojovník;boj_uhyb_0.1;hora;bojovnik;9.76;9.0;6.0;18.0;2.95;29.0;0.3;0.0;0;6;1.03;0.97;0.0;0;11;1.96;0.1;0.0;0;1;0.3;0.0;0.0;0;0;0.0;0.01;0.0;0;1;0.1;0.04;0.0;0;2;0.21
